"playerID","SUM(B.G)","SUM(B.AB)","SUM(B.R)","Sum(B.H)","Sum(B.2B)","Sum(B.3B)","Sum(B.HR)","Sum(B.SB)","Sum(B.CS)","Sum(B.BB)","Sum(B.SO)","Sum(B.IBB)","Sum(B.HBP)","Sum(B.SH)","Sum(B.SF)","Sum(B.GIDP)","Sum(P.W)","Sum(P.L)","Sum(P.SHO)","Sum(P.SV)","Sum(P.ER)","Sum(P.BB)","Sum(P.SO)","AVG(P.BAOpp)","AVG(P.ERA)","Sum(P.HBP)","Sum(P.BFP)","Sum(P.GF)","Sum(P.SH)","Sum(P.SF)","Sum(P.GIDP)","Sum(A.gameNum)","classification"
"hutchfr01",7080,13000,1420,3420,460,60,80,120,20,1320,600,0,60,300,0,380,2090,1562,286,154,13332,8536,13002,0.2590000000000001,3.810000014305115,308,135124,1056,0,0,0,0,"Nominated"
"raschvi01",106524,240768,17820,44352,5940,396,396,0,0,18612,57420,0,0,24948,0,6732,52272,26136,10296,1188,297792,287892,373824,0.26909090909091304,5.465454556725242,10296,3039300,1980,0,0,0,0,"Nominated"
"sainjo01",168870,301860,26910,74100,10920,1560,1170,0,0,9360,7800,0,780,21840,0,9750,54210,45240,6240,19890,321360,241410,354900,0.260769230769226,3.9338461619157057,11700,3509220,48360,0,0,0,0,"Nominated"
"walkedi02",38100,134800,20740,41280,7520,1920,2100,1180,200,16340,6500,0,320,1860,0,1620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"yorkru01",22442,82474,12264,22694,4074,728,3878,532,364,11088,12138,0,168,350,0,2170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"camparo01",68040,235480,35112,65016,9968,1008,13552,1400,840,29848,28056,1680,1680,1680,1008,8008,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"reesepe01",368220,1369860,227460,368900,56100,13600,21420,39440,7650,205700,151300,510,4420,26690,3230,29920,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"kellge01",287200,1072320,140960,328640,61600,8000,12480,8160,5760,99360,45920,1120,5760,23840,3200,30080,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"lemonbo01",783510,1507142,188552,349076,68796,11466,47138,2548,1274,118482,307034,0,2548,62426,3822,11466,304290,188160,45570,32340,1505280,1838970,1877190,0.2461538461538314,3.424615364808303,83790,17785530,107310,0,0,0,0,"Nominated"
"maglisa01",17024,31528,1624,4256,280,56,112,56,0,1120,10080,0,168,3192,112,728,6664,3472,1400,784,33768,31472,48272,0.24857142857142867,3.3171428612300327,2464,402192,1960,0,0,0,0,"Nominated"
